Name,Distance,Duration,Average Speed,Mean Speed,Std Deviation Speed,Speed Variance,Percentage Time At High Speed,Sustained High Speed Segment Count,Stop Count,Percentage Time Stopped,Sinuosity,Bearing Change Rate,Elevation Gain,Elevation Loss,Category
Drive to Athlone,178258.3,6690,95.9,103.1,15.2,230.6,69.3,11,0,2.6,1.195,756.8,73.2,59.9,highway
M11 to Wexford,122645.9,7071,62.4,65.7,15.7,247.8,54.6,3,2,3.5,1.082,363.4,471.4,272.9,highway
Trip to Sligo via N4,145222.8,5773,90.6,92.2,15.9,251.5,69.5,10,1,2.9,1.188,695.1,171.7,105.8,highway
Drive to Mullingar,97819.1,4093,86.0,79.4,14.2,202.8,47.4,4,1,3.7,1.133,647.1,190.9,453.8,highway
M8 to Cork City,113779.2,4758,86.1,84.1,16.4,270.6,37.9,5,3,3.1,1.192,386.3,301.5,66.0,highway
Run to Belfast Airport,144602.8,6154,84.6,78.6,12.3,151.0,75.5,10,0,3.9,0.975,542.5,312.2,255.7,highway
Drive to Drogheda,95452.3,4130,83.2,85.2,17.1,293.1,83.2,6,3,1.6,1.025,432.9,159.9,327.9,highway
Trip down to Tipperary,116359.7,6279,66.7,70.0,14.0,196.9,65.7,4,3,2.0,1.28,691.8,264.9,237.2,highway
M3 to Cavan,104176.5,5471,68.5,67.1,16.1,258.9,90.5,15,0,3.4,1.068,346.9,386.7,94.0,highway
Drive to Carlow,96995.7,3619,96.5,90.2,12.6,159.9,57.1,7,2,4.1,0.947,256.0,280.3,309.2,highway
Long haul to Donegal,82066.3,3610,81.8,80.9,11.6,134.7,68.6,3,1,2.1,0.981,236.6,132.3,48.5,highway
M1 round trip to Dundalk,54232.4,2250,86.7,91.4,13.3,177.2,73.2,3,3,5.9,1.169,556.7,66.3,199.2,highway
Wicklow Gap Loop,58572.7,4327,48.7,52.1,22.7,516.5,6.6,1,5,2.6,140.57,6621.6,528.0,1005.0,scenic
Sally Gap drive,24394.3,2511,35.0,36.8,26.3,692.8,10.8,2,6,6.0,4.871,5607.2,444.1,618.9,scenic
Glendalough loop,64864.4,6942,33.6,33.4,17.9,320.6,4.6,0,6,0.9,257.679,6136.4,998.7,358.2,scenic
Coastal run to Bray Head,52746.1,4183,45.4,48.5,30.4,922.5,4.9,0,5,3.7,78.006,4570.7,493.0,917.7,scenic
Sugarloaf Mountain loop,15097.7,1201,45.2,47.2,32.7,1070.4,10.2,2,5,1.1,4.301,7188.6,427.2,977.6,scenic
Ring of Hook drive,62098.0,4221,53.0,53.2,28.3,801.8,4.4,0,1,7.5,3.073,3774.9,868.3,711.6,scenic
"Vee Gap loop, Tipperary",49105.6,3144,56.2,57.3,18.6,347.7,10.9,0,5,3.7,2.784,5061.3,578.3,504.7,scenic
Mournes scenic loop,48321.6,3929,44.3,48.6,24.2,583.5,5.5,0,6,1.9,2.17,5840.7,804.0,240.5,scenic
Connor Pass run,23297.0,1757,47.7,43.8,36.7,1343.9,17.7,1,0,3.2,52.462,4301.0,749.0,250.4,scenic
Slieve Bloom loop,69190.3,4366,57.0,56.7,31.9,1019.3,0.2,0,1,5.8,62.089,4145.4,609.3,487.8,scenic
Wicklow Way coastal drive,71892.2,9041,28.6,27.1,20.0,400.3,6.4,1,1,4.0,2.254,6751.5,633.1,621.0,scenic
Howth Head loop,66566.9,7742,31.0,30.0,31.6,1000.6,13.3,1,1,0.4,2.832,5994.4,820.5,260.8,scenic
Glenmalure valley drive,38455.0,5190,26.7,24.2,34.0,1157.6,14.4,1,0,5.1,315.401,4400.5,578.1,957.2,scenic
Powerscourt and Roundwood loop,44707.4,3755,42.9,46.5,29.3,855.6,5.9,2,6,1.4,115.655,5926.6,317.7,620.6,scenic
Aughrim back roads loop,72805.9,6128,42.8,45.3,19.9,398.0,5.8,2,5,0.9,4.292,3562.6,700.4,817.9,scenic
Devil's Glen drive,22891.8,2142,38.5,35.2,19.5,381.4,3.4,0,0,0.2,227.954,7754.6,383.1,940.1,scenic
Killiney Hill loop,22391.7,2957,27.3,28.4,38.2,1460.0,20.1,2,2,6.6,98.509,7378.8,313.1,447.9,scenic
Wexford coastal drive,55753.8,4891,41.0,41.6,29.7,882.4,2.5,0,0,3.9,4.15,6596.5,1084.4,612.6,scenic
Blessington Lakes loop,40309.2,2709,53.6,50.2,33.7,1137.8,7.1,0,4,1.0,216.568,9156.7,824.6,747.4,scenic
Avoca valley scenic drive,19929.0,1629,44.0,41.1,30.5,929.0,11.3,2,2,8.0,1.813,6751.7,826.2,572.6,scenic
Weekend trip mixing motorway and town,28107.7,2539,39.8,39.6,30.8,948.8,7.8,0,3,13.7,71.595,3905.1,543.0,109.9,mixed
Drive to meeting then scenic detour home,26178.1,2664,35.4,32.7,15.2,232.5,16.0,1,14,27.4,2.528,2068.2,315.7,221.7,mixed
City driving then countryside loop,22067.7,2385,33.3,28.8,20.6,422.5,33.9,2,9,3.9,42.707,2070.4,85.1,196.3,mixed
Errands then a long way home,21741.5,1669,46.9,48.6,21.6,467.3,4.7,2,9,27.4,70.916,1153.6,203.8,274.9,mixed
Half motorway half backroads,24744.9,2373,37.5,43.1,25.4,642.9,16.5,4,8,16.9,2.257,4582.1,456.8,276.9,mixed
School run with a detour through the park,31529.0,2108,53.8,55.1,28.2,793.8,8.4,4,13,17.2,1.615,1262.0,163.5,347.5,mixed
Drive to client then coastal road back,44385.1,2852,56.0,48.7,15.3,234.6,14.4,4,7,9.1,1.933,4078.7,376.2,277.9,mixed
Shopping trip with scenic return,17618.5,1680,37.8,35.5,17.6,309.1,21.6,2,9,27.9,1.679,2924.1,515.6,370.7,mixed
Commute extended with a loop,20638.4,2148,34.6,32.0,20.4,415.6,26.6,2,3,8.2,31.173,1736.9,95.3,292.1,mixed
Visit relatives via winding back roads,16125.7,1237,46.9,49.1,29.7,880.9,28.3,2,6,7.9,2.442,4147.4,92.5,285.0,mixed
Drive to work via Phoenix Park,32689.6,2106,55.9,50.6,31.9,1015.2,7.3,2,10,21.4,2.43,3386.5,119.3,207.8,mixed
Town centre then motorway home,22573.7,1681,48.3,41.3,19.0,362.2,18.3,4,14,16.8,1.941,1806.6,328.9,59.3,mixed
Mixed errands across the city,21671.5,2164,36.0,36.8,18.4,336.9,11.1,3,5,9.1,3.604,3670.9,442.5,193.1,mixed
Drive to coast then motorway back,25114.4,1741,51.9,55.0,33.7,1132.9,35.9,1,11,24.6,72.582,1495.2,89.3,292.7,mixed
Half day touring various spots,12380.5,1296,34.4,31.3,20.8,434.2,23.5,3,3,14.9,78.435,3437.5,470.8,243.0,mixed
City drive with a country loop bonus,16222.1,907,64.4,56.0,25.1,629.6,18.8,3,6,23.1,3.131,3676.5,320.1,178.8,mixed
Trip combining motorway and mountain pass,28280.6,2444,41.6,35.4,14.1,200.1,25.1,4,7,18.2,2.24,3036.2,399.4,473.3,mixed
Errand run with scenic shortcut,7318.1,1155,22.8,23.5,22.1,487.9,24.4,1,9,11.4,61.489,4252.5,210.1,324.0,mixed
Multi-stop day around Dublin and Wicklow,15746.8,1424,39.8,37.4,18.9,357.7,41.2,3,9,19.1,3.094,2176.5,117.9,386.8,mixed
Long meandering drive home from work,35497.6,2463,51.9,58.3,29.2,850.1,14.4,1,5,9.9,2.648,3146.5,193.6,386.1,mixed
